ProviderID,network_name,addresses,route_server_asns
1057,Standard Peering Service Palermo,"185.1.46.0/24, 2001:7f8:32::/64",[]
1058,,,[]
522,,,[]
1284,QCIX Main,206.83.43.0/24,[]
567,Public Peering,"198.179.18.0/24, 2001:504:2d::18:0/111",[]
1363,Peering,"185.1.232.0/24, 2001:7f8:123::/64",[]
1339,Raleigh,"2001:504:67::/64, 206.71.9.0/24",[]
860,PEERING,"2001:7f8:66::/64, 91.232.229.0/24",[]
860,QUARANTINE,"2001:7f8:66::/64, 91.232.229.0/24",[]
688,Standard Peering Service Richmond,"2001:504:44::/64, 206.53.137.0/24",[]
1246,Richmond,"2001:504:79::/64, 206.80.232.0/24",[]
1173,RIX,"195.130.211.0/26, 2001:7f8:48::/64",[]
1181,ISP,"194.226.100.0/23, 2001:7f8:20:201::/64",[]
1181,ISP,"194.226.102.0/23, 2001:7f8:20:202::/64",[]
1181,ISP,"193.232.244.0/24, 2001:7f8:20:1101::/64",[]
1181,ISP,"195.208.208.0/21, 2001:7f8:20:101::/64",[]
1174,ISP,"193.232.140.0/24, 2001:7f8:20:501::/64",[]
1174,ISP,"195.208.208.0/21, 2001:7f8:20:101::/64",[]
1238,,,[]
1261,,217.156.113.0/24,[]
689,vLan101,"185.1.179.0/24, 185.1.179.0/24, 2001:7f8:fc:3f::/64, 2001:7f8:fc:3f::/64",[]
1172,Sacramento,"2001:504:70::/64, 206.71.13.0/24",[]
1155,,,[]
1401,Production,"185.1.148.0/24, 2001:7f8:140::/64",[]
634,STIX Peering,"2801:1f5::/64, 45.68.40.0/24",[]
1171,,"185.1.43.0/24, 2001:7f8:11::/64",[]
1170,,,[]
1030,SBH-IX public peering LAN,"149.112.32.0/24, 2001:504:118::/64",[]
943,,194.68.129.0/24,[]
1340,SFMIX-PEERING,"2001:504:30::/64, 206.197.187.0/24",[]
662,Production,"103.16.102.0/23, 2001:de8:12:0100::/64",[]
580,,192.108.145.0/24,[]
1189,,"2001:7f8:46::/48, 91.220.194.254/24",[]
1338,SIX,"192.108.148.0/24, 192.108.148.0/24, 2001:7F8:2F::/64, 2001:7F8:2F::/64",[]
56,MTU 9000 & multicast,"2001:504:16:1::/64, 206.81.82.0/23",[]
229,MTU 1500,"2001:504:16::/64, 206.81.80.0/23",[]
230,VLAN1,2a0e:b107:316::/64,[]
231,ISP,"193.232.135.0/24, 2001:7f8:20:601::/64",[]
253,SONIX Malmo,"193.201.148.128/26, 2001:7f8:117:2::/64",[]
1304,SONIX Gothenburg,"185.1.233.0/24, 2001:7f8:117:1::/64",[]
29,SONIX Stockholm,"185.1.215.0/24, 2001:7f8:117::/64",[]
441,ISP,"195.208.208.0/21, 2001:7f8:20:101::/64",[]
441,ISP,"194.85.107.0/24, 2001:7f8:20:301::/64",[]
441,ISP,"193.232.87.0/24, 2001:7f8:20:401::/64",[]
441,ISP,"193.232.140.0/24, 2001:7f8:20:501::/64",[]
441,ISP,"194.226.100.0/23, 2001:7f8:20:201::/64",[]
441,ISP,"194.226.102.0/23, 2001:7f8:20:202::/64",[]
1185,SR-IX,"185.54.252.0/24, 2A00:7160:5::/64",[]
549,SpeedIX,"185.12.14.0/24, 2A00:1CA8:FF::/64",[]
978,CPH-PEERING,"185.1.88.0/24, 2001:7f8:b0::/64",[]
